Sample - Replicate,Time (hours),ph
Keratin - 1,0,7.57
Keratin - 2,0,7.72
Keratin - 3,0,7.41
Keratin - 4,0,7.56
Keratin - 1,6,7.64
Keratin - 2,6,7.82
Keratin - 3,6,7.73
Keratin - 4,6,7.7
Keratin - 1,24,8.12
Keratin - 2,24,7.99
Keratin - 3,24,7.77
Keratin - 4,24,7.92
Keratin - 1,48,8.02
Keratin - 2,48,7.93
Keratin - 3,48,8.02
Keratin - 4,48,7.88
Keratin - 1,54,7.86
Keratin - 2,54,7.87
Keratin - 3,54,7.8
Keratin - 4,54,7.82
Keratin - 1,72,7.8
Keratin - 2,72,7.81
Keratin - 3,72,7.82
Keratin - 4,72,7.8
Keratin - 1,96,8.02
Keratin - 2,96,7.97
Keratin - 3,96,8.04
Keratin - 4,96,8.12
Keratin - 1,168,7.87
Keratin - 2,168,7.98
Keratin - 3,168,8.03
Keratin - 4,168,7.96
Keratin - 1,192,7.88
Keratin - 2,192,7.69
Keratin - 3,192,7.78
Keratin - 4,192,7.85
Casein - 1,0,7.7
Casein - 2,0,7.71
Casein - 3,0,7.64
Casein - 4,0,7.67
Casein - 1,3,7.87
Casein - 2,3,7.74
Casein - 3,3,7.86
Casein - 4,3,7.97
Casein - 1,6,7.71
Casein - 2,6,7.74
Casein - 3,6,7.75
Casein - 4,6,7.69
Casein - 1,24,7.95
Casein - 2,24,7.93
Casein - 3,24,7.94
Casein - 4,24,7.89
Casein - 1,48,8.02
Casein - 2,48,7.93
Casein - 3,48,7.96
Casein - 4,48,7.94
Casein - 1,54,7.96
Casein - 2,54,7.91
Casein - 3,54,7.9
Casein - 4,54,7.93
Casein - 1,72,7.87
Casein - 2,72,7.89
Casein - 3,72,7.89
Casein - 4,72,7.9
Casein - 1,96,7.96
Casein - 2,96,8.01
Casein - 3,96,7.98
Casein - 4,96,7.95
Casein - 1,168,7.92
Casein - 2,168,7.9
Casein - 3,168,7.93
Casein - 4,168,7.93
Casein - 1,192,7.9
Casein - 2,192,7.97
Casein - 3,192,7.98
Casein - 4,192,8
