Treatment,Time (hours),Methane
Casein,48,
Casein,49,1.840792395
Casein,50,4.071824765
Casein,51,6.508125602
Casein,52,9.03199865
Casein,53,11.56969955
Casein,54,14.07629578
Casein,55,16.50211918
Casein,56,18.81442478
Casein,57,21.01451817
Casein,58,23.1056377
Casein,59,25.09275804
Casein,60,26.98218111
Casein,61,28.78108537
Casein,62,30.49711508
Casein,63,32.1380418
Casein,64,33.71150497
Casein,65,35.22482556
Casein,66,36.68488188
Casein,67,38.09803521
Casein,68,39.47009385
Casein,69,40.80630546
Casein,70,42.11136942
Casein,71,43.38946284
Casein,72,44.64427487
Casein,73,45.83177001
Casein,74,46.91662199
Casein,75,47.9151964
Casein,76,48.83715848
Casein,77,49.68900842
Casein,78,50.47590757
Casein,79,51.20255282
Casein,80,51.87353902
Casein,81,52.49346033
Casein,82,53.06689042
Casein,83,53.59831699
Casein,84,54.0920687
Casein,85,54.55225238
Casein,86,54.98270677
Casein,87,55.38697361
Casein,88,55.76828401
Casein,89,56.12955726
Casein,90,56.47340893
Casein,91,56.80216561
Casein,92,57.11788387
Casein,93,57.42237165
Casein,94,57.71721069
Casein,95,58.00377898
Casein,96,58.2832725
Keratin,54,
Keratin,55,0.672015675
Keratin,56,1.319804184
Keratin,57,1.945261677
Keratin,58,2.577668588
Keratin,59,3.233427586
Keratin,60,3.920701826
Keratin,61,4.642505492
Keratin,62,5.398745107
Keratin,63,6.187552362
Keratin,64,7.006140963
Keratin,65,7.851345721
Keratin,66,8.719951261
Keratin,67,9.608882917
Keratin,68,10.51530864
Keratin,69,11.43668458
Keratin,70,12.370766
Keratin,71,13.31559776
Keratin,72,14.2694936
Keratin,73,15.28722863
Keratin,74,16.42539798
Keratin,75,17.68652228
Keratin,76,19.06964964
Keratin,77,20.56780534
Keratin,78,22.17093297
Keratin,79,23.86774118
Keratin,80,25.64682648
Keratin,81,27.49732207
Keratin,82,29.40924122
Keratin,83,31.3736275
Keratin,84,33.38258655
Keratin,85,35.42924828
Keratin,86,37.50769126
Keratin,87,39.61284942
Keratin,88,41.74041353
Keratin,89,43.8867349
Keratin,90,46.04873541
Keratin,91,48.22382595
Keratin,92,50.40983386
Keratin,93,52.60493955
Keratin,94,54.80762145
Keratin,95,57.01660892
Keratin,96,59.23084195
